id,split,tokens,label,error_type,target_depth,max_depth,input_length,original_length,error_position,original,corrupted,correction_actions
0,finetune_depth5,( [ ( ) [ ] ( ) ( ) [ ( [ ] ) ] ( ) [ [ ] [ ( ) ] [ ] [ ] [ ] ( [ ] ) ] ] ( ) ) [ ],1,no_error,5,5,42,42,-1,( [ ( ) [ ] ( ) ( ) [ ( [ ] ) ] ( ) [ [ ] [ ( ) ] [ ] [ ] [ ] ( [ ] ) ] ] ( ) ) [ ],( [ ( ) [ ] ( ) ( ) [ ( [ ] ) ] ( ) [ [ ] [ ( ) ] [ ] [ ] [ ] ( [ ] ) ] ] ( ) ) [ ],"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
1,finetune_depth5,( ) [ ( [ ] ) [ ( ) [ ] [ ( [ ] ) ] ] ] [ [ ] [ ] ] ( ) ( ) [ ] [ ] ( ) [ ] ( ( ] ( ) ),0,E3_type_mismatch,5,5,44,44,40,( ) [ ( [ ] ) [ ( ) [ ] [ ( [ ] ) ] ] ] [ [ ] [ ] ] ( ) ( ) [ ] [ ] ( ) [ ] ( ( ) ( ) ),( ) [ ( [ ] ) [ ( ) [ ] [ ( [ ] ) ] ] ] [ [ ] [ ] ] ( ) ( ) [ ] [ ] ( ) [ ] ( ( ] ( ) ),"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""REPLACE_RPAREN"", ""OK"", ""OK"", ""OK""]"
2,finetune_depth5,[ [ ] [ ( ) [ ] ] ( ( [ [ ] ] [ ( ) [ ] ( ) ] ) ) ] [ [ ] [ [ ] [ ] ] ] [ [ ( [ [ ] [ ] ( ) [ ] ] ) ] ] ],0,E4_premature_close,5,5,53,52,52,[ [ ] [ ( ) [ ] ] ( ( [ [ ] ] [ ( ) [ ] ( ) ] ) ) ] [ [ ] [ [ ] [ ] ] ] [ [ ( [ [ ] [ ] ( ) [ ] ] ) ] ],[ [ ] [ ( ) [ ] ] ( ( [ [ ] ] [ ( ) [ ] ( ) ] ) ) ] [ [ ] [ [ ] [ ] ] ] [ [ ( [ [ ] [ ] ( ) [ ] ] ) ] ] ],"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""DELETE""]"
3,finetune_depth5,[ ] ( ( [ ] ) [ ] [ ( ) [ ] ] [ ] ( [ [ ] ( ( ) ( ) ) [ ] ( ) ] ) ( [ ] ) ) [ ] [ ( ) ] ( [ ( ) ] [ ( ) ] ) ( [ ( ) ( ( ) ) ] ( ( ) ) ),1,no_error,5,5,68,68,-1,[ ] ( ( [ ] ) [ ] [ ( ) [ ] ] [ ] ( [ [ ] ( ( ) ( ) ) [ ] ( ) ] ) ( [ ] ) ) [ ] [ ( ) ] ( [ ( ) ] [ ( ) ] ) ( [ ( ) ( ( ) ) ] ( ( ) ) ),[ ] ( ( [ ] ) [ ] [ ( ) [ ] ] [ ] ( [ [ ] ( ( ) ( ) ) [ ] ( ) ] ) ( [ ] ) ) [ ] [ ( ) ] ( [ ( ) ] [ ( ) ] ) ( [ ( ) ( ( ) ) ] ( ( ) ) ),"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
4,finetune_depth5,( ) ( [ ( ) ( ) ( [ ] [ ( ) ] ) ] ( ) [ ( ( ) ( ) ) ] [ ] ( ) ) ( [ ] ( ) ) ( ) [ [ [ [ ] ] ( ) ( [ ] ) ( [ ] ) ] ],1,no_error,5,5,58,58,-1,( ) ( [ ( ) ( ) ( [ ] [ ( ) ] ) ] ( ) [ ( ( ) ( ) ) ] [ ] ( ) ) ( [ ] ( ) ) ( ) [ [ [ [ ] ] ( ) ( [ ] ) ( [ ] ) ] ],( ) ( [ ( ) ( ) ( [ ] [ ( ) ] ) ] ( ) [ ( ( ) ( ) ) ] [ ] ( ) ) ( [ ] ( ) ) ( ) [ [ [ [ ] ] ( ) ( [ ] ) ( [ ] ) ] ],"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
5,finetune_depth5,( ) [ [ ( ) ] ] ( ) ( [ ] ( ( ( [ ] ( ) ) ( ) ) ) ) ( ) [ [ [ ] [ ( ) ] ] ( ) ] ( ( [ ] ) ( ( [ ] [ ] ) ( [ ] [ [ [ ] ( ) ] ) ( [ ] ) ( ) ( ) ) [ ] ) [ ( ) ],0,E2_spurious_opener,5,5,79,78,55,( ) [ [ ( ) ] ] ( ) ( [ ] ( ( ( [ ] ( ) ) ( ) ) ) ) ( ) [ [ [ ] [ ( ) ] ] ( ) ] ( ( [ ] ) ( ( [ ] [ ] ) ( [ ] [ [ ] ( ) ] ) ( [ ] ) ( ) ( ) ) [ ] ) [ ( ) ],( ) [ [ ( ) ] ] ( ) ( [ ] ( ( ( [ ] ( ) ) ( ) ) ) ) ( ) [ [ [ ] [ ( ) ] ] ( ) ] ( ( [ ] ) ( ( [ ] [ ] ) ( [ ] [ [ [ ] ( ) ] ) ( [ ] ) ( ) ( ) ) [ ] ) [ ( ) ],"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""DELETE"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
6,finetune_depth5,( ( ] [ ] ) ( ) ( [ [ ( ) ] ] ) [ ] [ ] ( [ ( ) ] ) ( ) [ ( ) [ ( ) [ ] ] ] ( ) ( ) ( ( ) [ ( [ ] ( ( ) ( ) [ ] ( ) ( ) ) ) ] ),0,E3_type_mismatch,5,5,64,64,2,( ( ) [ ] ) ( ) ( [ [ ( ) ] ] ) [ ] [ ] ( [ ( ) ] ) ( ) [ ( ) [ ( ) [ ] ] ] ( ) ( ) ( ( ) [ ( [ ] ( ( ) ( ) [ ] ( ) ( ) ) ) ] ),( ( ] [ ] ) ( ) ( [ [ ( ) ] ] ) [ ] [ ] ( [ ( ) ] ) ( ) [ ( ) [ ( ) [ ] ] ] ( ) ( ) ( ( ) [ ( [ ] ( ( ) ( ) [ ] ( ) ( ) ) ) ] ),"[""OK"", ""OK"", ""REPLACE_RPAREN"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
7,finetune_depth5,( ) [ [ ( ( [ ] ) ) ( [ [ ] [ ] ( ) ( ) ( ) [ ] ] ( ) ) ( ) [ [ ] [ ] ] ] ] ( ( [ ] [ ] [ ] ) ( [ ( ) ] ) ) ) ( ) [ [ [ ( ) ] ] ],0,E4_premature_close,5,5,65,64,54,( ) [ [ ( ( [ ] ) ) ( [ [ ] [ ] ( ) ( ) ( ) [ ] ] ( ) ) ( ) [ [ ] [ ] ] ] ] ( ( [ ] [ ] [ ] ) ( [ ( ) ] ) ) ( ) [ [ [ ( ) ] ] ],( ) [ [ ( ( [ ] ) ) ( [ [ ] [ ] ( ) ( ) ( ) [ ] ] ( ) ) ( ) [ [ ] [ ] ] ] ] ( ( [ ] [ ] [ ] ) ( [ ( ) ] ) ) ) ( ) [ [ [ ( ) ] ] ],"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""DELETE"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
8,finetune_depth5,( ( ( ( ) ) [ ( ) ] ) ) ) ( ( ( ( [ ] ) ) [ ( [ ] ) ] [ ( ( ) ( ) ( ) ) [ ( ) ] ] ) ( [ ] ) ( ( [ [ ] ] [ ] ) ) [ ] ( ) ),0,E4_premature_close,5,5,61,60,12,( ( ( ( ) ) [ ( ) ] ) ) ( ( ( ( [ ] ) ) [ ( [ ] ) ] [ ( ( ) ( ) ( ) ) [ ( ) ] ] ) ( [ ] ) ( ( [ [ ] ] [ ] ) ) [ ] ( ) ),( ( ( ( ) ) [ ( ) ] ) ) ) ( ( ( ( [ ] ) ) [ ( [ ] ) ] [ ( ( ) ( ) ( ) ) [ ( ) ] ] ) ( [ ] ) ( ( [ [ ] ] [ ] ) ) [ ] ( ) ),"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""DELETE"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
9,finetune_depth5,[ [ [ ( ( ) ) ( ( ) [ ] ) ] [ [ ] ] ] [ [ ] ( [ ] ) [ ] ] ] [ ( [ [ ] ] ) ] [ ] ( ),1,no_error,5,5,42,42,-1,[ [ [ ( ( ) ) ( ( ) [ ] ) ] [ [ ] ] ] [ [ ] ( [ ] ) [ ] ] ] [ ( [ [ ] ] ) ] [ ] ( ),[ [ [ ( ( ) ) ( ( ) [ ] ) ] [ [ ] ] ] [ [ ] ( [ ] ) [ ] ] ] [ ( [ [ ] ] ) ] [ ] ( ),"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
