id,split,tokens,label,error_type,target_depth,max_depth,input_length,original_length,error_position,original,corrupted,correction_actions
0,probe_depth_train,[ ( [ ( ) ( ) ] [ ] ( ) ( ) [ ] [ ( ) ] ) ] ( ) ( ) ( ) ( ),1,no_error,4,4,30,30,-1,[ ( [ ( ) ( ) ] [ ] ( ) ( ) [ ] [ ( ) ] ) ] ( ) ( ) ( ) ( ),[ ( [ ( ) ( ) ] [ ] ( ) ( ) [ ] [ ( ) ] ) ] ( ) ( ) ( ) ( ),"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
1,probe_depth_train,[ ] ( [ ] ) ( ) [ ] [ ] ( ) [ ] ( ),1,no_error,2,2,18,18,-1,[ ] ( [ ] ) ( ) [ ] [ ] ( ) [ ] ( ),[ ] ( [ ] ) ( ) [ ] [ ] ( ) [ ] ( ),"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
2,probe_depth_train,( [ ] ) [ ( ( ) [ ] ) ( ) [ ] ] ( [ ] ) [ ] ( [ ( ) ] [ ] ) [ [ ] ( ) ] [ [ ] ] [ ] ( ) ( ( ) ) ( ( ) ) ( ( ) ) [ ] [ ( ( ) ) ( [ ] ],0,E1_missing_closer,3,3,67,68,65,( [ ] ) [ ( ( ) [ ] ) ( ) [ ] ] ( [ ] ) [ ] ( [ ( ) ] [ ] ) [ [ ] ( ) ] [ [ ] ] [ ] ( ) ( ( ) ) ( ( ) ) ( ( ) ) [ ] [ ( ( ) ) ( [ ] ) ],( [ ] ) [ ( ( ) [ ] ) ( ) [ ] ] ( [ ] ) [ ] ( [ ( ) ] [ ] ) [ [ ] ( ) ] [ [ ] ] [ ] ( ) ( ( ) ) ( ( ) ) ( ( ) ) [ ] [ ( ( ) ) ( [ ] ],"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""INSERT_RPAREN"", ""OK""]"
3,probe_depth_train,[ ] ( ) [ ] ( ) [ ( ( ( ) ) ( ) ( ( ) ) ) [ ],0,E2_spurious_opener,4,4,23,22,21,[ ] ( ) [ ] ( ) [ ( ( ( ) ) ( ) ( ( ) ) ) ],[ ] ( ) [ ] ( ) [ ( ( ( ) ) ( ) ( ( ) ) ) [ ],"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""DELETE"", ""OK""]"
4,probe_depth_train,( ) ( ( ) ( ) [ [ ] ] ( ) ( ( ( ) ( [ ( ) [ ] ] ) ) ),0,E2_spurious_opener,5,5,27,26,2,( ) ( ) ( ) [ [ ] ] ( ) ( ( ( ) ( [ ( ) [ ] ] ) ) ),( ) ( ( ) ( ) [ [ ] ] ( ) ( ( ( ) ( [ ( ) [ ] ] ) ) ),"[""OK"", ""OK"", ""DELETE"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
5,probe_depth_train,[ ( ) ] [ ],1,no_error,2,2,6,6,-1,[ ( ) ] [ ],[ ( ) ] [ ],"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
6,probe_depth_train,( ) ( [ ] [ ( ) ( ( ) [ ] [ [ ] ] ) [ ( ) ] ] ) [ ] [ [ ] [ ] ] ( ( ( ) ) [ ] ) ( ) ( ) [ ],1,no_error,5,5,46,46,-1,( ) ( [ ] [ ( ) ( ( ) [ ] [ [ ] ] ) [ ( ) ] ] ) [ ] [ [ ] [ ] ] ( ( ( ) ) [ ] ) ( ) ( ) [ ],( ) ( [ ] [ ( ) ( ( ) [ ] [ [ ] ] ) [ ( ) ] ] ) [ ] [ [ ] [ ] ] ( ( ( ) ) [ ] ) ( ) ( ) [ ],"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
7,probe_depth_train,( ) [ ] [ [ ] ],1,no_error,2,2,8,8,-1,( ) [ ] [ [ ] ],( ) [ ] [ [ ] ],"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
8,probe_depth_train,[ ] ( ( ) [ ] [ ] [ ( ) ] ) ( ( [ ] ) ( ) ( ) ( ( ( ) [ ] ( ) ) [ ] ) ( ) [ ( ) ] [ ] [ ( ) [ ] ],0,E1_missing_closer,4,4,49,50,25,[ ] ( ( ) [ ] [ ] [ ( ) ] ) ( ( [ ] ) ( ) ( ) ( ( ( ) ) [ ] ( ) ) [ ] ) ( ) [ ( ) ] [ ] [ ( ) [ ] ],[ ] ( ( ) [ ] [ ] [ ( ) ] ) ( ( [ ] ) ( ) ( ) ( ( ( ) [ ] ( ) ) [ ] ) ( ) [ ( ) ] [ ] [ ( ) [ ] ],"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""INSERT_RPAREN"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
9,probe_depth_train,( ) ( ) [ [ ] ( ) ] [ ( ( ) [ ( ) ] [ ( ) ] [ [ ] ] ( ) ) ] ( ),1,no_error,4,4,32,32,-1,( ) ( ) [ [ ] ( ) ] [ ( ( ) [ ( ) ] [ ( ) ] [ [ ] ] ( ) ) ] ( ),( ) ( ) [ [ ] ( ) ] [ ( ( ) [ ( ) ] [ ( ) ] [ [ ] ] ( ) ) ] ( ),"[""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK"", ""OK""]"
