split,epoch,loss,accuracy,macro_f1
train,1,0.41980336395263673,0.78746,0.786170377380462
dev,1,0.3123086659669876,0.8758,0.873954568842422
train,2,0.3114749790382385,0.87458,0.872785165540757
dev,2,0.31443126001358035,0.8616,0.8607615394075427
train,3,0.30866942572593686,0.87696,0.875307498357156
dev,3,0.31043823790550235,0.8758,0.8742955235725042
train,4,0.30807799010276793,0.8769,0.8752600544640907
dev,4,0.31380804002285,0.8622,0.8613608393428077
train,5,0.3073172957801819,0.87676,0.8751338210009986
dev,5,0.3180978610277176,0.8618,0.8609757250739636
test_id,best,0.31129675583839417,0.8764,0.8745819194372697
test_ood,best,2.0376041898727415,0.3874,0.38723918705225
